id,term,translation,description,difficulty,category,image_url,audio_url,created_at,description_translation
1096c0dd-bfa3-4488-a07a-51b3ca8828f9,Distancia de seguridad,	Дистанция безопасности,	Espacio que se debe mantener con el vehículo que va delante.	,medium,483d5013-722c-425b-9127-f3ded2b5f373,,,2025-03-09 22:16:26.756938+00,"Расстояние, которое необходимо соблюдать с впереди идущим транспортным средством."
1223629e-b003-49f2-a2ae-793d9c2ecb39," Subir la ventanilla	",Поднять стекло	,Cerrar la ventanilla del coche.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:22:03.578871+00,Закрыть окно автомобиля.
12dcdbd7-3155-4e22-b072-01d4e879872f,Adelantar,Обгонять,"Sobrepasar a otro vehículo en la misma dirección.	
",medium,a8a3a4bc-a58f-469e-b648-b35e397cf893,,,2025-03-09 22:08:28.068463+00,"Опережение другого транспортного средства, движущегося в том же направлении."
15ebca6d-425b-49c8-8b6a-e88d0e42dd0e,Exceso de velocidad,	Превышение скорости,	Conducir a una velocidad superior a la permitida.	,medium,08c33234-2249-45fa-91b8-e424fd9e71ab,,,2025-03-09 22:10:56.993404+00,"Управление транспортным средством на скорости, превышающей допустимую."
16769d20-b785-47f3-b86e-782832ac7e8a," Dirección obligatoria	",Обязательное направление	,Señal que indica la dirección obligatoria.	,medium,d35ab8c9-d8f1-4959-b441-6e162445ce90,,,2025-03-10 19:58:57.960066+00,"Знак, указывающий обязательное направление движения."
16a19b93-0e6e-42b4-8d06-5807ef601ff7," Detenerse en un stop	","Остановиться на знаке ""Стоп""",	Parar completamente en una señal de stop.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:42:09.799365+00,"Полностью остановиться перед знаком ""Стоп""."
174eb35f-e8bb-443e-a965-686d08e85d93," Retrovisor exterior",	Боковое зеркало	,Espejo lateral para ver el tráfico.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:33:29.662134+00,Боковое зеркало для наблюдения за дорогой.
189b6d68-fc94-4091-b83f-a5bc676bb635,Guardabarros,Брызговик,Parte que protege de salpicaduras.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:34:45.551901+00,"Элемент, защищающий от брызг."
1931e3ba-68b8-41f8-8331-c6d694dfcd01,Autobús,Автобус,	Vehículo de transporte público para pasajeros.	,medium,83e740d4-0435-489f-9bf3-63f21ba895e2,,,2025-03-09 22:19:55.641784+00,Транспортное средство для перевозки пассажиров.
1af65e9d-eac8-477f-8d13-123d0fd46ff4," Estacionar en paralelo	",Парковаться параллельно	,"Aparcar el coche al lado de la acera, en paralelo a otros vehículos.	",medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:18:38.357406+00,Парковать автомобиль параллельно тротуару рядом с другими машинами.
1e608e4e-caa6-4af1-a5c7-e2263fa0e70f,Farola,Фара,	Luz delantera del coche.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:35:55.22754+00,Передняя фара автомобиля.
20dded4d-3199-43f5-96e6-74e684b3ee41," Estacionar en línea	",Парковаться в ряд	,Aparcar el coche en paralelo a otros vehículos.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:46:51.455228+00,Парковать автомобиль параллельно другим машинам.
23e4d49c-8044-49fd-8df4-97f8a1b7769e," Cambiar de dirección	",Менять направление,	Girar para tomar otra ruta.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:45:56.038997+00,"Поворачивать, чтобы выбрать другой маршрут."
24daaf91-6bc4-4c4e-9131-16743f0f2c3f,Motor	,Двигатель,"Corazón del coche, genera la potencia.	",medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:42:42.229219+00,"Сердце автомобиля, вырабатывающее мощность."
2789e0bc-3998-4e49-b036-1cccb68a9010," Paso de peatones	",Пешеходный переход	,Zona marcada para el cruce de peatones.	,medium,d35ab8c9-d8f1-4959-b441-6e162445ce90,,,2025-03-10 19:59:19.257211+00,Обозначенная зона для перехода пешеходов.
28420b1f-a40d-4bc7-ab01-bd9013e86983,Tapa del depósito,	Крышка топливного бака	,"Cubierta del depósito de combustible.	
",medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:03:59.206105+00,Крышка топливного бака.
2af5d699-0648-462d-b6c2-039ad8ca6c6f," Líquido limpiaparabrisas	",Жидкость стеклоомывателя	,Líquido para limpiar el parabrisas.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:45:30.683494+00,Жидкость для очистки лобового стекла.
2ee6c840-a45f-43cb-bfca-eba2e87b35aa,Maletero	,Багажник,Compartimento para equipaje en la parte trasera.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:05:05.449569+00,Отсек для багажа в задней части автомобиля.
2f2ee482-b71f-4be7-8978-7ed9ebc2ba4d," GPS",Навигатор,	Dispositivo para guiar al conductor.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:48:27.836043+00,Устройство для навигации водителя.
33fa7b92-4e01-4307-8b1d-19a9d068a403," Cruzar un paso de peatones	",Пересекать пешеходный переход	,Conducir con precaución al cruzar una zona de peatones.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 21:36:41.763448+00,"Ехать с осторожностью, пересекая зону пешеходного перехода."
34878813-06f9-4663-9a3c-102857779afe,Prioridad,Приоритет,"Derecho de paso en una intersección.	
",medium,483d5013-722c-425b-9127-f3ded2b5f373,,,2025-03-09 22:16:09.346498+00,Право проезда на перекрестке.
369a392e-9dbe-46b8-81a7-b6d693525915," Dejar el coche en el aparcamiento	",Оставить машину на парковке,	Estacionar el vehículo en un lugar designado.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:26:49.488791+00,Оставить автомобиль в отведенном месте.
36edd3c9-7eca-4569-bab5-b0f3050c2e77," Girar a la izquierda	",Поворот налево,	Cambiar de dirección hacia la izquierda.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:41:47.581175+00,Изменение направления влево.
390ced46-3d76-433c-9fcd-d515167eb7f0," Apagar las luces	",Выключить фары	,Desactivar las luces delanteras.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:23:02.194449+00,Выключить передние фары.
390d89c7-a7fb-4288-95bf-4e0aa5798823," Bicicleta	",Велосипед,Vehículo de dos ruedas impulsado por pedales.	,medium,83e740d4-0435-489f-9bf3-63f21ba895e2,,,2025-03-09 22:20:10.135236+00,"Двухколесное транспортное средство, приводимое в движение педалями."
3c699eed-ab10-4c90-a018-7b7483f9d062,Circular por una zona residencial	,Двигаться в жилой зоне,	Conducir con precaución en áreas residenciales.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 21:40:06.888312+00,Ехать с осторожностью в жилых зонах.
3cbc765e-aa4e-415b-aba4-a611452753a6," Pisar el freno	",Нажать на тормоз,	Presionar el pedal del freno para reducir la velocidad.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:53:37.664253+00,"Нажать на педаль тормоза, чтобы снизить скорость."
3ec8dac5-6c01-4782-8b6f-284b7224b8f7," Vaso de expansión	",Расширительный бачок,	Recipiente para el líquido refrigerante.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:45:07.467248+00,Емкость для охлаждающей жидкости.
4020fbc0-51d4-4e5c-a02e-d2502561fbe1,Peatón,Пешеход,Persona que transita a pie por las vías públicas.,medium,82905485-3ee7-4509-aab2-51d68194b71b,,,2025-03-04 14:15:24.600975+00,"Лицо, передвигающееся пешком по дорогам."
40e42f22-0fe6-4c95-b375-3c51153d6842,Parabrisas,Лобовое стекло,	Cristal frontal del coche.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:33:04.338417+00,Переднее стекло автомобиля.
414f76e5-af82-4551-9277-7f48530db761,Freno de mano	,Ручной тормоз	,Dispositivo para frenar manualmente.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:41:29.431997+00,Устройство для ручного торможения.
41aa987f-da14-4087-a1f6-468ff2a09ebb," Rueda delantera	",Переднее колесо	,"Rueda ubicada en la parte delantera del coche.	
",medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:06:12.963625+00,"Колесо, расположенное в передней части автомобиля."
4229bb62-93a0-4456-b1af-39f5fb4eda25," Salir de la vía	",Съезжать с дороги	,Abandonar la carretera principal.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:16:49.839308+00,Покидать главную дорогу.
42714de3-5350-4a1f-974e-8f22214b30f3,Estacionar,Парковаться,Dejar el vehículo en un lugar designado.	,medium,a8a3a4bc-a58f-469e-b648-b35e397cf893,,,2025-03-09 22:08:56.152068+00,Оставить транспортное средство в отведенном месте.
42b11355-3e2e-44ff-b0b5-4d6d95b3817e,Detenerse,Остановиться,	Parar completamente el vehículo.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:10:44.406555+00,Полностью остановить транспортное средство.
43bde655-a2e2-4569-aa02-daf6c6059c44,Parasol,	Солнцезащитный экран,	Dispositivo para bloquear el sol.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:37:53.465656+00,Устройство для защиты от солнца.
4577d67e-11b4-46e3-ba80-410c779cd5d2,Bomberos,Пожарные,	Servicio de emergencia para incendios.	,medium,f6ddec48-8c9e-49f2-b81e-179d881dbda9,,,2025-03-09 22:22:16.95808+00,Служба экстренной помощи при пожарах.
47ae8949-4359-4663-8f49-39e3f2bb00a0,Retrovisor,	Зеркало заднего вида	,Espejo interior para ver el tráfico trasero.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:38:14.725945+00,Внутреннее зеркало для наблюдения за дорогой сзади.
47ee8abc-9e16-4ef7-b014-5e07ec2c6026," Neumático	",Шина,Cubierta de la rueda.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:37:11.143097+00,Покрышка колеса.
481af02a-4fa9-4d1f-a1a6-6140b8bc60d5," Parachoques	",Бампер,Parte delantera o trasera que absorbe impactos.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:05:42.17735+00,"Передняя или задняя часть, поглощающая удары."
49757567-2ff1-44c6-95d5-ad4041973c09,Emergencia	,Чрезвычайная ситуация	,"Situación que requiere atención inmediata.	
",medium,f6ddec48-8c9e-49f2-b81e-179d881dbda9,,,2025-03-09 22:21:31.177864+00,"Ситуация, требующая немедленного вмешательства."
4977d92b-036d-45cc-81b4-6b44ba1bdca2,Permiso de conducir	,Водительское удостоверение,	Documento que autoriza a conducir un vehículo.	,medium,82905485-3ee7-4509-aab2-51d68194b71b,,,2025-03-09 22:17:54.126503+00,"Документ, разрешающий управление транспортным средством."
4a8f5c63-f012-4cab-826e-915fba04f837," Zona de obras	",Зона дорожных работ,	Área donde se realizan trabajos en la carretera.	,medium,d35ab8c9-d8f1-4959-b441-6e162445ce90,,,2025-03-10 19:59:59.836995+00,"Участок дороги, где ведутся строительные работы."
4ad96644-def2-4755-8369-5a3f6d33a469,Abrochar el cinturón	,Пристегнуть ремень безопасности,	Asegurar el cinturón de seguridad.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:21:42.978089+00,Закрепить ремень безопасности.
4dc7c86f-1492-4298-8d9a-7e9d671356ee," Parabrisas	",Лобовое стекло	,Cristal frontal del coche.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:15:52.144728+00,Переднее стекло автомобиля.
4ed5bdca-09ab-4394-9c97-73f0ef533ede,Ventanilla,	Боковое окно,	Ventana lateral del coche.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:15:11.062564+00,Боковое окно автомобиля.
4f182d29-854d-4568-8d0a-6e9e91f75521," Filtro de aire	",Воздушный фильтр	,Filtro que limpia el aire antes de entrar al motor.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:43:58.320095+00,"Фильтр, очищающий воздух перед попаданием в двигатель."
4f6f2ede-e428-4421-a227-542bd0cc1b6c," Mantener la velocidad	",Соблюдать скорость	,Conducir a la velocidad permitida en la autopista.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 21:38:55.395131+00,Ехать с разрешенной скоростью на автомагистрали.
50534874-672b-47e0-9582-cfc3af0b196b,Conductor,Водитель,"Persona que maneja la dirección o va al mando de un vehículo.
",medium,82905485-3ee7-4509-aab2-51d68194b71b,,,2025-03-04 13:43:54.958014+00,"Лицо, управляющее транспортным средством."
5229b60c-a98e-41e7-ad89-70745e3958c8," Cinturón de seguridad	",Ремень безопасности,"	Dispositivo de seguridad para los ocupantes.	
",medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:40:32.348101+00,Устройство безопасности для пассажиров.
52acbcb5-9e1d-4b68-b2ba-ee27316e5c48,Carretera,Дорога,Vía pública para el tránsito de vehículos.	,medium,82905485-3ee7-4509-aab2-51d68194b71b,,,2025-03-09 22:13:17.516445+00,Общественная дорога для движения транспортных средств.
573a1928-0d3e-4816-9bc1-295123c57d52," Elevador eléctrico	",Электрический стеклоподъемник	,Dispositivo para subir y bajar las ventanillas.,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:41:52.063598+00,	Устройство для поднятия и опускания окон.
5a3ad2ae-51c7-406c-a3e7-c29b09557010," Tapa de aceite	",Крышка маслозаливной горловины	,"Cubierta para llenar el aceite.	
",medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:43:17.468073+00,Крышка для заливки масла.
5c1e5e0a-61fa-40d3-854c-6016c0489766," Motocicleta",Мотоцикл,"	Vehículo de dos ruedas con motor.	
",medium,83e740d4-0435-489f-9bf3-63f21ba895e2,,,2025-03-09 22:19:35.926588+00,Двухколесное транспортное средство с двигателем.
5cbda229-635b-43c4-92c0-bb35013ae8d1," Techo corredizo	",Откидной верх	,Techo que se puede abrir o retraer.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,https://www.motor16.com/wp-content/webpc-passthru.php?src=https://www.motor16.com/wp-content/uploads/2022/09/techo-solar-coche-kQGB-620x349@abc.jpg&nocache=1,,2025-03-10 19:13:35.807653+00,"Крыша, которую можно открыть или сдвинуть."
5ebf0724-8494-49b2-b09e-c7533c3d4b5e,Capó,Капот,	Cubierta del motor en la parte delantera.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:34:13.965513+00,Крышка двигателя в передней части автомобиля.
60d13367-ef5f-4b02-8f56-e28c1c33d43e,Incorporarse a la autopista	,Въезжать на автомагистраль	,Entrar en una autopista desde una vía de acceso.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 21:38:32.165245+00,Въезжать на автомагистраль с въездной дороги.
61651d77-b2b9-4d68-8857-179be4cea40a,Ceda el paso,Уступите дорогу	,	Obliga a ceder el paso a otros vehículos.	,medium,d35ab8c9-d8f1-4959-b441-6e162445ce90,,,2025-03-10 19:57:51.526328+00,Обязывает уступить дорогу другим транспортным средствам.
63c589f9-5930-4068-bfc7-23c92f71a0d6," Pedir ayuda	",Просить о помощи,	Solicitar asistencia en caso de emergencia.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:20:50.585463+00,Обращаться за помощью в чрезвычайной ситуации.
63ef7187-ec92-4393-a291-a172fb91aaa9,	Подавать сигнал	,Señalizar,Indicar una maniobra con las luces intermitentes.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:10:02.872129+00,Указывать маневр с помощью сигнальных огней.
65544a95-85d6-469c-b8a1-16657805d5d3,Palanca de cambio,Рычаг переключения передач	,	Mecanismo para cambiar de marcha.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:40:58.033623+00,Механизм для переключения передач.
66e7a717-760b-4f64-9f35-2a7ae57f5594,Rueda trasera	,Заднее колесо,	Rueda ubicada en la parte trasera del coche.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:06:33.282502+00,"Колесо, расположенное в задней части автомобиля."
69833418-0afd-420e-92ad-2635ab33380e," Salir de la autopista	",Съезжать с автомагистрали,	Abandonar la autopista por una salida.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 21:39:12.435489+00,Покидать автомагистраль через съезд.
6b62159d-989d-43ef-a168-189eb3463135,Intermitente,	Сигнальная лампа,	Luz intermitente para indicar dirección.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:35:37.29944+00,Мигающая лампа для указания направления.
6d9db91b-345e-4281-82da-30ed293b5c41," Llamar a la grúa	",Вызвать эвакуатор	,Solicitar un vehículo para remolcar el coche.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:20:34.802065+00,Заказывать транспортное средство для буксировки автомобиля.
6ed02034-b6bb-4946-b081-3c548c136ff0,Camión,Грузовик,	Vehículo pesado para transporte de mercancías.	,medium,83e740d4-0435-489f-9bf3-63f21ba895e2,,,2025-03-09 22:19:15.022852+00,Тяжелое транспортное средство для перевозки грузов.
726562ae-3206-4357-a93a-d1f35758543f,Tablero de mandos,	Приборная панель,	Panel con indicadores y controles.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:39:11.999759+00,Панель с индикаторами и элементами управления.
72d721b5-1d7d-4efa-b582-222be0f3c22a,Accidente,ДТП,"	Suceso en el que se produce un choque entre vehículos.	
",medium,f6ddec48-8c9e-49f2-b81e-179d881dbda9,,,2025-03-09 22:20:47.626184+00,"Происшествие, при котором происходит столкновение транспортных средств."
7316765a-5fe1-4a04-90f5-60e8eb903f47,Multa,Штраф,Sanción económica por incumplir las normas de tráfico.	,medium,08c33234-2249-45fa-91b8-e424fd9e71ab,,,2025-03-09 22:10:32.290266+00,Денежное взыскание за нарушение правил дорожного движения.
749df712-f384-4839-8b86-f33cef6618fe," Aire acondicionado	",Кондиционер,Sistema para enfriar el aire en el interior.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:48:08.049362+00,Система для охлаждения воздуха в салоне.
7609fb91-239b-4576-9730-21052e13a374," Realizar un adelantamiento	",Совершить обгон	,Sobrepasar a otro vehículo en la misma dirección.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:46:28.22116+00,"Опередить другое транспортное средство, движущееся в том же направлении."
764390b4-1b50-4427-aad6-6f0be8f9daf9," Pisar el acelerador	",Нажать на газ,	Presionar el pedal del acelerador para aumentar la velocidad.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:53:10.235804+00,"Нажать на педаль газа, чтобы увеличить скорость."
786da9f7-e213-4c8e-9b67-4480214e3efe,Estacionamiento prohibido,	Стоянка запрещена	,"Dejar el vehículo en una zona donde no está permitido.	
",medium,08c33234-2249-45fa-91b8-e424fd9e71ab,,,2025-03-09 22:11:48.442969+00,"Оставление транспортного средства в зоне, где парковка запрещена."
7ddfdd7d-5275-4f4c-90c1-a4e2f7b909ff,Matrícula,Номерной знак	,Placa de identificación del vehículo.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:36:50.379002+00,Идентификационная табличка автомобиля.
7f22256b-c0e9-4143-a8fd-97cccbd0dc2e,Cambiar de carril	,Перестроиться,Moverse de un carril a otro.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:09:16.786671+00,Перемещение с одной полосы на другую.
7f7dbcbf-bf95-46c9-883b-42ab940b2cda," Ceder el paso en un ceda el paso","	Уступить дорогу на знаке ""Уступите дорогу""",	Permitir que otros vehículos pasen primero en una señal de ceda el paso.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:43:35.300684+00,"Позволить другим транспортным средствам проехать первым на знаке ""Уступите дорогу""."
7fc315c2-8a5b-40f0-ac50-d63b002323a3," Aparcar	",Парковать,Dejar el coche en un lugar específico.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:11:34.278288+00,Оставить автомобиль в определенном месте.
82298c42-98d9-450e-933c-3af23394c6f9,Hacer un cambio de sentido	,Разворот (смена направления)	,Girar para ir en la dirección opuesta.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:40:36.063235+00,Поворот для движения в противоположном направлении.
8521f90c-3dad-49dc-8f8c-f9b4d47ecad8,Luz trasera,	Задняя фара,"	Luz ubicada en la parte trasera del coche.	
",medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:04:31.137129+00,"Фара, расположенная в задней части автомобиля."
878c1817-f98d-4215-9a69-88553c04b994," Esquivar	",Уклоняться,Moverse rápidamente para evitar un choque.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:19:52.768836+00,"Быстро перемещаться, чтобы избежать столкновения."
882507f3-275b-4e6f-8799-177811ae37d3,Frenar,Тормозить,Reducir la velocidad o detener el vehículo.	,medium,a8a3a4bc-a58f-469e-b648-b35e397cf893,,,2025-03-03 18:04:46.325363+00,Снижение скорости или остановка транспортного средства.
883b07c4-c5ee-4b57-808c-8365948912ea," Volante",Руль,	Dispositivo para dirigir el coche.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:39:33.195712+00,Устройство для управления автомобилем.
897a11d1-8e4c-4eaf-a78d-18b2a0c12b9c,Mantener la distancia	,Соблюдать дистанцию,	Conservar un espacio seguro con el vehículo delantero.	,medium,8ca8a29a-d9b5-4fe9-917d-a1083de7bef1,,,2025-03-10 20:13:38.615635+00,Соблюдать безопасное расстояние с впереди идущим транспортным средством.
8ab17fee-9e08-4303-a1e1-02d2f2dc9988," Embrague	",Сцепление,Dispositivo que conecta el motor con la caja de cambios.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:54:41.327741+00,"Устройство, соединяющее двигатель с коробкой передач.
"
8d40370a-8e8e-4c48-bd1b-b63d71d06c8f,Encendido,	Зажигание	,Mecanismo para arrancar el motor.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:39:52.51602+00,Механизм для запуска двигателя.
8ddbf413-ae4b-4733-bfad-aecd9d139f71," Radiador	",Радиатор,Dispositivo para enfriar el motor.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:46:10.418546+00,Устройство для охлаждения двигателя.
8e478237-a9c0-45c1-9ae8-13472fbbf6d1," Luz interior	",Свет в салоне	,Iluminación dentro del coche.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:53:28.230663+00,Освещение внутри автомобиля.
901880f3-444a-4f70-a1fa-e853387a13e0,Puerta de coche	,Дверца	,Puerta lateral del vehículo.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:03:25.538158+00,Боковая дверь автомобиля.
9b023f93-bdff-46d8-94b9-7d5ad028801b,Escape,Выхлопная труба	,Tubo por donde salen los gases del motor.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,https://tec2go.com.es/cdn/shop/files/escape1.jpg?v=1712318304,,2025-03-10 19:07:54.378905+00,"Труба, через которую выходят выхлопные газы."
9cd6dea9-91dd-49af-a2eb-2349fb963fb5," Líquido de frenos	",Тормозная жидкость,	Líquido que transmite la presión en el sistema de frenos.	,medium,43199b83-ee89-467f-bd3b-d2acb5e04952,,,2025-03-10 19:45:51.988925+00,"Жидкость, передающая давление в тормозной системе."
